MRT_Line,Bus_ServiceNo,Bus_Route_Length_m,Overlap_Length_m,Coverage_Percentage,Consecutive_Coverage_Percentage,Max_Consecutive_Segments,Weighted_Average_Angle,Weighted_Average_Score
Jurong Region,179,7984.510854863207,7984.510854863207,9.333333333333334,100.0,8.0,39.8,51.693333333333335
Jurong Region,98A,2960.207397446955,2960.207397446955,6.666666666666667,100.0,3.0,43.8,51.42666666666666
Jurong Region,154A,2451.852352032764,2451.852352032764,6.666666666666667,100.0,3.0,40.1,50.68666666666667
Jurong Region,975A,1555.2588296180677,1292.3718216760178,1.3333333333333335,100.0,2.0,47.8,50.093333333333334
Jurong Region,240A,1424.8586351032866,1424.8586351032866,4.0,100.0,2.0,39.6,49.52
Jurong Region,181M,5683.547588230532,5683.547588230532,6.666666666666667,83.33333333333334,5.0,33.4,42.68
Jurong Region,242,4141.560872713399,4141.5608727133995,4.0,80.0,4.0,33.8,40.36
Jurong Region,246,13325.31928518631,13325.319285186308,13.333333333333334,57.14285714285714,8.0,41.4,36.47047619047619
Cross Island,112A,3991.852191526763,2315.3550076727647,3.0303030303030303,50.0,2.0,40.0,29.21212121212121
Jurong Region,243G,3918.1963883104854,3918.1963883104854,5.333333333333334,50.0,2.0,33.4,28.813333333333333
Jurong Region,198A,4147.384256352261,4147.384256352261,6.666666666666667,40.0,2.0,50.3,28.726666666666667
Cross Island,114,3755.5005724466378,3079.0336955412904,3.0303030303030303,50.0,2.0,37.5,28.71212121212121
Cross Island,83T,5486.4214309415665,4719.286876279164,6.0606060606060606,50.0,3.0,30.0,28.424242424242426
Jurong Region,98M,15371.17417009785,15023.165500428066,10.666666666666668,37.5,6.0,44.2,28.10666666666667
Jurong Region,249A,6750.611440595161,3601.9604351197495,4.0,42.857142857142854,3.0,46.4,28.02285714285714
Jurong Region,160A,3686.5961200411775,3552.1182078835363,4.0,50.0,2.0,30.6,27.720000000000002
Jurong Region,154B,13376.866258618129,7814.4962175127475,12.0,28.57142857142857,4.0,56.0,27.42857142857143
Jurong Region,240,11075.041274730807,11075.04127473081,13.333333333333334,33.33333333333333,4.0,43.0,27.266666666666666
Jurong Region,199,9731.60178828165,9714.299595217464,13.333333333333334,40.0,4.0,28.3,26.993333333333336
Jurong Region,99,14720.703255865512,9517.197554813652,10.666666666666668,26.666666666666668,4.0,59.9,26.913333333333334
Jurong Region,179A,7251.579630250251,7251.579630250251,6.666666666666667,37.5,3.0,41.4,25.946666666666665
Jurong Region,241,4931.493342403642,4931.493342403642,2.666666666666667,40.0,2.0,42.6,25.586666666666666
Jurong Region,243W,4000.989270154416,4000.989270154416,6.666666666666667,40.0,2.0,32.4,25.14666666666667
Thomson East Coast,158A,9716.071199937785,4650.73310164107,5.263157894736842,40.0,4.0,34.3,24.965263157894736
Jurong Region,185,15853.232689994784,8133.413180664783,12.0,18.75,3.0,60.9,24.48
Jurong Region,240M,5113.814264620299,5113.814264620299,6.666666666666667,33.33333333333333,2.0,41.0,24.200000000000003
Jurong Region,49,19913.898282774597,18477.173986024685,12.0,25.0,5.0,40.2,22.840000000000003
Jurong Region,181,5074.94743249168,5074.947432491681,6.666666666666667,33.33333333333333,2.0,32.3,22.46
Cross Island,114A,2079.1304567288744,1610.5033392937005,3.0303030303030303,33.33333333333333,1.0,37.4,22.025454545454544
Jurong Region,172,12722.528337984902,6313.777080268348,16.0,23.076923076923077,3.0,30.0,21.630769230769232
Thomson East Coast,900,6377.941063529027,4481.074298021638,5.263157894736842,28.57142857142857,2.0,39.4,21.413834586466166
Thomson East Coast,150,5858.431458964779,1992.9875105810136,2.631578947368421,33.33333333333333,2.0,34.6,21.3059649122807
